row,year,unc_status,comp_major,primary_major,data_science,prereqs,prior_exp,ap_principles,ap_a,other_comp,prior_time,languages,hours_online_social,hours_online_work,lesson_time,sync_perf,all_sync,flipped_class,no_hybrid,own_notes,own_examples,oh_visits,ls_effective,lsqs_effective,programming_effective,qz_effective,oh_effective,tutoring_effective,pace,difficulty,understanding,interesting,valuable,would_recommend
104,23,Returning UNC Student,No,Information Science,No,"MATH 129P, STOR 113",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,2,3,1,2,1,3,4,1,7,6,7,7,7,6,5,5,5,7,7,7
105,24,Returning UNC Student,No,HPM,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,5,1,1,1,1,7,7,3,7,7,7,3,,,5,5,6,7,7,7
106,25,Returning UNC Student,No,Biology,Maybe,"MATH 129P, MATH 130, MATH 231, MATH 232",None to less than one month!,,,,,,10+ hours,10+ hours,3,1,1,1,1,7,3,1,7,7,7,7,7,,6,5,4,7,7,7
107,23,Incoming Transfer Student,No,Biology,Maybe,MATH 130,None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,2,2,1,1,1,7,5,1,6,6,7,3,7,,5,3,5,6,2,7
108,23,Returning UNC Student,No,Neuroscience,No,"MATH 130, MATH 231, PSYC 210",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,1,2,2,3,1,5,5,4,6,6,6,6,6,5,6,6,3,6,6,4
109,24,Returning UNC Student,Yes - BA,Computer Science,No,"MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,1,7,7,4,2,7,7,0,6,2,6,6,,,7,3,6,6,6,6
110,25,Incoming First-year Student,No,Physics,No,"MATH 129P, MATH 231, MATH 232, MATH 233",7-12 months,Yes,No,High school course (IB or other),1 month or so,"Python, JavaScript / TypeScript",0 to 2 hours,3 to 5 hours,7,2,2,1,1,7,7,0,7,7,7,7,,,5,2,7,6,7,6
111,25,Returning UNC Student,No,Biology,No,"MATH 231, STOR 155",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,7,2,2,1,1,7,1,5,5,5,5,5,7,7,6,6,2,3,3,4
112,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232, MATH 233",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,1,1,1,1,1,3,5,2,6,5,6,6,6,,5,4,5,5,7,5
113,24,Returning UNC Student,No,Economics,No,"STOR 113, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,5,7,6,4,5,5,3,3,4,4,4,3,4,4,6,7,4,5,5,2
114,26,Returning UNC Student,No,Mathematics,No,"MATH 231, MATH 232, MATH 233, MATH 347, MATH 381",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,1,2,2,3,2,7,6,0,7,7,7,7,,,4,3,6,7,7,7
115,25,Incoming First-year Student,Yes - Minor,Nursing,No,"MATH 129P, MATH 130, MATH 231, MATH 232",None to less than one month!,,,,,,5 to 10 hours,10+ hours,2,4,5,2,3,7,3,4,7,7,6,5,5,,5,4,5,7,7,7
116,22,Returning UNC Student,No,"Peace, War, and Defense",No,STOR 151,None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,1,2,1,2,1,5,5,0,7,7,7,7,,,6,4,6,7,7,7
117,23,Returning UNC Student,No,Psychology,No,"MATH 231, MATH 232, PSYC 210",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,3,1,1,1,1,5,4,3,5,5,5,2,4,4,7,7,1,5,7,3
118,23,Returning UNC Student,Yes - Minor,Chemistry,Maybe,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,7,1,1,4,1,7,3,0,7,7,7,7,,,4,3,5,7,7,7
119,25,Returning UNC Student,Yes - Minor,Neuroscience,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,2,2,1,4,1,7,2,1,5,6,5,7,4,,6,6,5,6,7,6
120,25,Incoming First-year Student,No,Biology,Yes,"MATH 231, STOR 120",1-2 years,No,Yes,UNC,None to less than one month!,"Python, JavaScript / TypeScript, R / Matlab / SAS",0 to 2 hours,5 to 10 hours,7,3,3,3,7,7,7,0,7,7,7,7,7,,6,4,7,7,7,7
121,24,Returning UNC Student,No,Statistics and Analytics,No,"MATH 129P, MATH 231, STOR 151, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,6,7,7,6,4,7,3,2,5,3,7,6,5,4,5,6,5,5,5,5
122,23,Returning UNC Student,No,Economics,No,"MATH 231, MATH 232, MATH 233, MATH 347, STOR 155",7-12 months,No,No,No I did not,None to less than one month!,"Python, R / Matlab / SAS, Stata",0 to 2 hours,3 to 5 hours,3,1,2,2,2,4,4,0,6,6,6,5,,,4,4,5,4,5,6
123,24,sophomore ,No,Neuroscience,No,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,3,4,3,5,3,6,3,2,3,5,5,5,,,5,4,5,5,6,5
124,24,Returning UNC Student,No,Neuroscience,No,"MATH 129P, MATH 231, MATH 232, MATH 233",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,1,1,1,1,1,6,5,0,7,6,7,4,7,7,4,3,5,7,7,7
125,25,Incoming First-year Student,No,Environmental Science/Studies,Maybe,"MATH 231, MATH 232, MATH 233, STOR 155",2-6 months,Yes,No,High school course (IB or other),None to less than one month!,Python,3 to 5 hours,3 to 5 hours,4,2,1,2,2,7,7,0,7,7,7,7,7,7,4,4,5,7,7,7
126,24,Returning UNC Student,No,Psychology,No,PSYC 210,None to less than one month!,,,,,,10+ hours,5 to 10 hours,1,5,5,2,2,3,6,2,3,6,6,2,7,,5,7,3,5,6,6
127,23,Returning UNC Student,No,Psychology,No,"MATH 231, PHIL 155, PSYC 210, STOR 155",2-6 months,No,No,High school course (IB or other),None to less than one month!,Python,3 to 5 hours,3 to 5 hours,2,4,4,4,4,4,6,1,7,6,7,5,6,6,5,4,6,7,6,7
128,24,Returning UNC Student,No,Philosophy,Maybe,MATH 130,None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,1,2,1,6,3,7,5,1,6,7,7,7,6,,4,4,5,7,7,7
129,24,Incoming Transfer Student,No,Neuroscience,No,"MATH 231, PSYC 210, STOR 155",None to less than one month!,,,,,,10+ hours,5 to 10 hours,3,7,3,1,1,7,3,2,5,2,7,2,7,,7,5,2,7,7,5
130,25,Incoming First-year Student,Yes - BA,Computer Science,Yes,"MATH 231, STOR 151",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,5,2,1,5,3,7,3,2,7,7,7,7,7,7,5,4,5,6,7,7
131,22,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,3,7,7,7,7,7,7,0,1,7,7,4,,,6,5,4,5,6,7
132,25,Returning UNC Student,Yes - BS,Computer Science,Yes,"MATH 129P, MATH 231, STOR 155",7-12 months,Yes,Yes,None,1 month or so,"Java / C#, JavaScript / TypeScript, HTML / CSS, SQL",5 to 10 hours,3 to 5 hours,3,2,2,3,1,3,5,0,6,4,6,4,,,5,2,6,7,7,7
133,24,Incoming First-year Student,No,Undecided,Maybe,STOR 151,None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,2,1,2,3,1,5,3,3,7,6,7,5,7,,7,7,3,7,7,5
134,24,Returning UNC Student,No,Biology,No,"MATH 130, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,5,4,1,1,1,7,4,0,7,6,7,5,,,5,3,6,7,7,7
135,25,Incoming First-year Student,Yes - BA,Computer Science,No,"MATH 231, MATH 232, MATH 233",1-2 years,No,No,High school course (IB or other),1 month or so,"Python, Java / C#, R / Matlab / SAS, HTML / CSS",5 to 10 hours,3 to 5 hours,4,1,1,1,2,4,7,0,7,5,7,7,,,2,1,7,6,6,7
136,24,Returning UNC Student,Yes - Minor,Economics,No,"STOR 113, STOR 155",2-6 months,Yes,No,High school course (IB or other),1 month or so,"Python, JavaScript / TypeScript",3 to 5 hours,0 to 2 hours,2,1,1,2,2,5,5,0,7,6,7,7,,,6,6,5,6,6,6
137,24,Returning UNC Student,No,Neuroscience,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, PSYC 210",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,1,7,6,6,1,7,5,5,6,6,6,7,7,2,6,7,5,5,6,5
138,25,Incoming First-year Student,Yes - BA,Computer Science,Maybe,MATH 130,None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,4,2,2,3,1,6,4,1,7,6,6,3,5,,6,4,5,6,7,7
139,25,Incoming First-year Student,No,Information Science,No,"MATH 129P, MATH 130, MATH 231, STOR 155",7-12 months,No,Yes,On-line course,None to less than one month!,"Python, Java / C#, JavaScript / TypeScript, R / Matlab / SAS, HTML / CSS",3 to 5 hours,5 to 10 hours,1,4,3,2,2,7,5,0,6,2,7,5,,,5,4,6,7,7,6
140,24,Returning UNC Student,No,Psychology,No,MATH 130,None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,4,3,4,1,4,3,1,2,3,5,5,5,4,,5,5,4,4,4,5
141,25,Incoming First-year Student,Yes - BS,Computer Science,No,MATH 130,2-6 months,No,No,On-line course,2-6 months,"Python, HTML / CSS, Bash",5 to 10 hours,5 to 10 hours,3,1,1,2,1,5,6,0,5,5,7,4,,,6,4,5,5,6,4
142,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 231",7-12 months,No,No,Training for Pascal weekly for about a year,7-12 months,"Python, pascal",5 to 10 hours,10+ hours,7,3,4,3,2,7,5,0,6,7,7,7,,,5,2,6,7,7,7
143,25,Incoming First-year Student,No,Business,Maybe,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,2,2,2,3,2,6,2,3,6,4,5,5,6,,4,4,5,6,6,5
144,25,Returning UNC Student,Yes - BS,Biology,Maybe,"MATH 129P, MATH 231, MATH 232, MATH 233, MATH 381",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,2,4,3,4,3,6,5,1,7,6,6,5,6,,4,4,5,6,6,7
145,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,STOR 151,None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,7,1,2,7,1,5,4,4,7,7,7,7,7,7,6,7,4,7,7,7
146,24,Returning UNC Student,No,Psychology,No,"MATH 130, MATH 231, PSYC 210",None to less than one month!,,,,,,0 to 2 hours,10+ hours,7,4,2,2,2,7,4,4,4,5,5,5,7,6,4,5,4,7,6,5
147,25,Incoming First-year Student,Yes - BS,Biology,No,"MATH 130, MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,2,2,2,5,1,7,4,1,7,6,7,5,6,6,4,4,6,7,7,7
148,24,Returning UNC Student,No,Biology,No,"MATH 231, MATH 232, MATH 233, MATH 381, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,2,2,2,2,1,7,3,3,5,6,7,6,7,6,6,5,5,7,7,7
149,24,Returning UNC Student,Yes - BA,Computer Science,No,"MATH 129P, MATH 130, STOR 113, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,4,4,4,1,3,7,6,3,4,5,6,3,7,,7,6,3,7,7,7
150,24,Returning UNC Student,Yes - BS,Computer Science,Maybe,"MATH 231, MATH 232, STOR 155",7-12 months,No,No,Another college or community college,2-6 months,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS",3 to 5 hours,3 to 5 hours,6,5,3,2,1,6,6,3,5,3,7,7,7,7,4,6,6,7,5,7
151,23,Returning UNC Student,No,Information Science,No,"MATH 130, MATH 231",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,4,4,4,4,4,4,3,4,4,4,4,4,4,6,6,3,5,5,5
152,23,Returning UNC Student,No,Psychology,No,"MATH 231, PSYC 210, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,7,1,1,1,1,7,7,0,7,7,5,3,,,6,6,3,5,2,5
153,22,Returning UNC Student,No,Psychology,No,"MATH 130, PSYC 210, STOR 155",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,2,2,1,1,1,7,4,1,7,7,6,7,7,,6,6,4,3,4,4
154,25,Incoming First-year Student,No,Business,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,6,1,1,1,1,6,3,1,5,5,5,1,4,,7,6,3,4,7,7
155,23,Returning UNC Student,No,Psychology,No,"MATH 231, PSYC 210, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,1,4,2,2,1,7,4,5,7,7,7,5,7,6,7,7,3,7,7,3
156,23,Returning UNC Student,No,Biology,No,"MATH 231, PSYC 210, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,3,4,2,1,1,6,3,1,5,6,6,5,6,,6,5,3,5,3,5
157,25,Incoming First-year Student,No,Statistics and Analytics,Maybe,"MATH 130, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,2,3,4,2,7,6,0,7,7,7,6,,,5,5,6,7,7,7
158,25,Returning UNC Student,No,Economics,No,"MATH 129P, MATH 231, STOR 155",None to less than one month!,,,,,,5 to 10 hours,0 to 2 hours,2,2,2,2,1,4,5,1,6,6,6,1,4,4,6,6,5,6,6,6
159,24,Returning UNC Student,No,Psychology,No,"MATH 130, MATH 231",2-6 months,No,No,High school course (IB or other),1 month or so,Python,3 to 5 hours,3 to 5 hours,2,1,1,2,1,5,5,0,6,6,6,4,,,5,2,6,7,4,7
160,24,Returning UNC Student,Yes - BS,Computer Science,No,MATH 130,None to less than one month!,,,,,,3 to 5 hours,10+ hours,2,1,2,7,1,7,7,2,6,7,7,7,7,7,7,6,3,7,7,7
161,25,Incoming First-year Student,Yes - BA,Computer Science,No,STOR 151,None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,7,3,3,2,4,6,3,2,4,5,5,4,6,,6,5,4,5,5,4
162,25,Incoming First-year Student,Yes - BS,Computer Science,Yes,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232",1-2 years,Yes,Yes,No,None to less than one month!,"Python, Java / C#, R / Matlab / SAS, HTML / CSS",5 to 10 hours,5 to 10 hours,3,1,1,1,1,6,5,0,5,4,7,3,,,7,5,5,5,7,7
163,23,Returning UNC Student,No,Psychology,No,"PHIL 155, PSYC 210, PSYC 215",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,4,2,2,7,2,5,4,2,7,7,3,4,6,6,7,7,1,4,3,2
164,24,Returning UNC Student,No,Economics,Maybe,"MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,5,3,3,5,3,6,2,1,6,5,5,6,5,6,5,4,3,6,6,5
165,24,Returning UNC Student,No,Business,Yes,"STOR 120, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,5,2,2,1,5,6,7,0,7,7,5,4,7,7,5,6,5,7,7,7
166,25,Incoming First-year Student,Yes - BA,Computer Science,No,"MATH 129P, MATH 231, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,1,1,1,1,1,4,3,0,6,6,6,6,6,6,6,6,6,6,6,6
167,24,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 231, MATH 232, MATH 233, STOR 155",None to less than one month!,,,,,,10+ hours,5 to 10 hours,4,3,3,3,2,3,2,4,5,4,6,4,7,7,5,5,3,4,4,4
168,22,Returning UNC Student,No,Business,No,"MATH 130, MATH 152, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,7,5,5,5,6,5,7,0,7,7,7,7,5,,5,2,7,7,7,7
169,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, STOR 155",Over 2 years,No,No,On-line course,> 2 years,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS",3 to 5 hours,3 to 5 hours,1,1,1,4,1,1,7,0,1,1,7,4,,,7,1,7,7,7,7
170,24,Returning UNC Student,Yes - BA,Computer Science,No,STOR 151,2-6 months,No,No,UNC,1 month or so,HTML / CSS,3 to 5 hours,3 to 5 hours,3,3,2,1,2,4,7,0,3,3,7,2,4,4,5,4,3,6,6,3
171,23,Incoming Transfer Student,No,Media and Journalism,No,MATH 231,None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,2,3,3,3,2,7,5,2,7,6,6,4,4,,4,6,4,6,7,6
172,24,Returning UNC Student,No,Psychology,No,"MATH 231, STOR 155",None to less than one month!,,,,,,0 to 2 hours,5 to 10 hours,5,1,1,1,1,7,6,5,5,5,1,6,6,4,7,6,3,5,5,2
173,24,Returning UNC Student,Yes - BA,Economics,Yes,"MATH 129P, MATH 231, MATH 232, STOR 155",1-2 years,No,No,Taught myself in the summer,1-2 years,"Python, C / C++, JavaScript / TypeScript, HTML / CSS, SQL, Bash",0 to 2 hours,3 to 5 hours,1,1,1,1,1,3,5,0,6,6,7,4,,,4,5,6,7,7,5
174,25,Freshman,Yes - BS,Computer Science,Yes,STOR 155,7-12 months,Yes,Yes,no,1 month or so,"Python, JavaScript / TypeScript",10+ hours,5 to 10 hours,2,6,5,4,3,5,5,1,5,5,7,4,5,,5,4,5,6,7,5
175,25,Incoming First-year Student,No,Biology,No,"MATH 129P, MATH 130, MATH 231",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,1,2,2,1,1,1,6,0,7,5,7,3,,,3,2,7,7,5,6
176,25,Incoming First-year Student,Yes - BA,Business,Yes,"MATH 129P, MATH 231, MATH 232, MATH 233",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,7,1,1,1,1,7,3,0,7,7,7,2,,,5,6,6,6,7,5
177,25,Returning UNC Student,Yes - BS,Biology,No,"MATH 231, MATH 232, MATH 233",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,6,3,3,1,3,7,5,1,5,4,7,5,5,,5,3,6,7,7,7
178,23,Returning UNC Student,Yes - BA,Computer Science,No,"MATH 130, MATH 152, STOR 155",7-12 months,No,No,UNC,7-12 months,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS, Swift",10+ hours,10+ hours,4,2,4,5,4,7,7,0,3,3,7,7,4,4,2,2,7,7,7,5
179,25,Incoming First-year Student,Yes - BA,Computer Science,Yes,"MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,1,2,1,2,1,7,7,0,7,6,6,6,,,5,4,5,7,7,7
180,23,Returning UNC Student,No,Information Science,Maybe,"MATH 130, STOR 155",1-2 years,No,No,On-line course,1-2 years,"Python, Java / C#, BASIC",5 to 10 hours,10+ hours,1,1,1,1,1,4,7,0,7,3,7,2,,,5,4,7,7,7,4
181,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232, MATH 233, STOR 155",7-12 months,No,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#, C / C++",5 to 10 hours,5 to 10 hours,4,1,1,5,1,5,5,0,5,5,5,4,,,2,1,7,7,7,7
182,23,Returning UNC Student,No,Neuroscience,No,"MATH 130, MATH 231, PSYC 210",None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,1,1,1,1,1,7,7,0,7,7,7,7,,,4,2,6,7,7,7
183,24,Returning UNC Student,No,Neuroscience,No,MATH 233,None to less than one month!,,,,,,5 to 10 hours,3 to 5 hours,5,4,5,2,3,5,4,1,5,5,5,5,,,5,4,4,6,5,7
184,24,Returning UNC Student,No,Psychology,No,"MATH 231, PSYC 210",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,6,2,3,1,1,7,5,3,7,7,7,7,7,,4,6,6,4,1,5
185,25,Returning UNC Student,Yes - BS,Computer Science,No,"MATH 231, MATH 232",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,5,5,5,5,5,5,5,0,5,5,5,5,5,5,4,5,5,4,4,6
186,25,Incoming First-year Student,No,Economics,Maybe,"MATH 130, MATH 231, STOR 155",2-6 months,Yes,No,High school course (IB or other),1 month or so,"Python, HTML / CSS",3 to 5 hours,10+ hours,4,5,5,5,3,7,6,3,7,7,6,6,6,6,6,3,6,7,7,7
187,22,Returning UNC Student,No,Biology,No,"MATH 129P, MATH 231, MATH 232, PSYC 210, STOR 155",None to less than one month!,,,,,,3 to 5 hours,10+ hours,7,1,1,3,1,7,3,2,7,7,7,5,7,,4,5,5,7,7,7
188,23,Returning UNC Student,No,Psychology,No,"MATH 129P, PSYC 210, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,1,1,1,3,1,7,5,1,7,5,7,7,7,,5,5,5,7,5,5
189,25,Incoming First-year Student,Yes - BA,Computer Science,Maybe,"MATH 129P, MATH 130, MATH 152, MATH 231, PHIL 155",2-6 months,No,No,Another college or community college,2-6 months,"Python, HTML / CSS",3 to 5 hours,3 to 5 hours,6,6,7,6,3,6,4,1,5,4,6,4,7,6,5,4,5,6,7,4
190,23,Returning UNC Student,No,Psychology,No,"MATH 130, MATH 231, PSYC 210, STOR 151, STOR 155",None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,3,3,5,5,5,4,2,5,2,2,2,2,5,,7,7,1,1,6,1
191,25,Incoming First-year Student,No,Economics,Maybe,"MATH 130, MATH 152, MATH 231, STOR 155",None to less than one month!,,,,,,5 to 10 hours,5 to 10 hours,5,6,6,6,2,6,6,2,5,7,7,4,7,7,6,5,5,7,7,7
192,25,Returning UNC Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 231",Over 2 years,Yes,Yes,On-line course,7-12 months,"Python, Java / C#, C / C++, JavaScript / TypeScript, HTML / CSS, SQL, Bash, Rust, x86 Assembly",3 to 5 hours,5 to 10 hours,3,6,5,5,4,3,6,0,6,5,7,5,,,3,2,6,6,6,6
193,25,First Year Student,Yes - BS,Computer Science,Maybe,"MATH 231, MATH 232, MATH 233, MATH 347, MATH 381",7-12 months,No,Yes,High school course (IB or other),2-6 months,"Python, Java / C#, C / C++",5 to 10 hours,3 to 5 hours,5,1,1,2,2,5,6,0,5,4,4,5,4,4,4,2,6,5,6,5
194,25,Returning UNC Student,Yes - BA,Computer Science,Yes,"MATH 130, MATH 210, MATH 231, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,2,1,1,3,1,7,7,0,7,5,7,1,4,4,4,2,6,7,7,7
195,22,Returning UNC Student,No,Business,Yes,"STOR 113, STOR 120, STOR 151, STOR 155",1-2 years,No,No,UNC,1-2 years,"Python, JavaScript / TypeScript, HTML / CSS",5 to 10 hours,3 to 5 hours,2,3,3,2,2,2,6,0,4,2,6,6,5,5,5,4,5,7,7,7
196,24,Returning UNC Student,No,Economics,Yes,"MATH 231, MATH 232, STOR 113, STOR 155",7-12 months,Yes,Yes,High school course (IB or other),None to less than one month!,"Python, Java / C#",3 to 5 hours,5 to 10 hours,5,4,1,4,1,7,5,0,6,4,6,6,4,4,6,2,6,6,5,5
197,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 231, MATH 232",1-2 years,No,Yes,No,2-6 months,"Python, Java / C#, JavaScript / TypeScript",3 to 5 hours,5 to 10 hours,7,7,7,7,7,7,7,5,7,7,7,7,7,7,4,2,6,6,6,7
198,22,Returning UNC Student,No,Neuroscience,No,"MATH 210, MATH 231, MATH 232, PSYC 210, PSYC 215, STOR 151, STOR 155",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,5,3,3,2,3,6,7,0,7,4,6,7,,,4,4,5,7,7,7
199,24,Returning UNC Student,No,Psychology,No,MATH 231,None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,5,3,4,2,3,4,3,2,4,3,6,2,4,4,6,6,3,5,6,4
200,24,Returning UNC Student,No,Political Science,Yes,MATH 130,None to less than one month!,,,,,,3 to 5 hours,5 to 10 hours,5,5,4,3,2,6,5,1,5,6,4,4,,6,6,5,4,3,6,4
201,24,Returning UNC Student,No,Economics,Maybe,"MATH 231, STOR 155",2-6 months,Yes,No,None,2-6 months,"Python, BASIC, HTML / CSS, Bash",3 to 5 hours,3 to 5 hours,1,4,2,1,2,3,7,0,5,5,6,6,,,4,3,6,6,7,7
202,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, STOR 151, STOR 155",2-6 months,Yes,No,none,None to less than one month!,Python,0 to 2 hours,5 to 10 hours,6,5,6,3,2,4,6,0,5,5,7,5,,,5,5,6,7,7,6
203,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233, MATH 347",2-6 months,No,No,Another college or community college,1 month or so,Python,3 to 5 hours,3 to 5 hours,1,1,1,1,1,1,6,0,7,6,7,5,,,2,2,7,7,7,7
204,25,Incoming First-year Student,Yes - BA,Computer Science,No,"MATH 129P, MATH 231, MATH 232",Over 2 years,No,No,High school course (IB or other),7-12 months,"Python, Java / C#, JavaScript / TypeScript, HTML / CSS, SQL, Bash",3 to 5 hours,3 to 5 hours,6,2,2,5,1,6,5,0,5,5,6,5,,,4,4,7,6,7,6
205,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,"MATH 210, MATH 231, MATH 232, STOR 155",None to less than one month!,,,,,,3 to 5 hours,3 to 5 hours,1,1,1,4,1,1,7,1,7,7,7,7,7,,6,6,7,7,7,7
206,25,Incoming First-year Student,No,Clinical Lab Science,Maybe,"MATH 130, STOR 151",None to less than one month!,,,,,,5 to 10 hours,10+ hours,3,6,5,4,4,5,4,5,3,2,2,1,5,5,2,7,1,3,4,3
207,25,Incoming First-year Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232",7-12 months,No,No,High school course (IB or other),None to less than one month!,"Python, R / Matlab / SAS, HTML / CSS, Bash",0 to 2 hours,5 to 10 hours,6,3,2,2,2,5,5,0,6,5,7,6,,,6,2,7,7,7,6
208,25,Incoming First-year Student,Yes - BS,Computer Science,Maybe,MATH 130,2-6 months,Yes,No,,1 month or so,"Python, JavaScript / TypeScript",5 to 10 hours,3 to 5 hours,3,2,2,5,1,7,6,0,7,7,6,7,,,4,3,6,7,7,7
209,23,Returning UNC Student,No,Psychology,No,"MATH 231, STOR 155",None to less than one month!,,,,,,0 to 2 hours,3 to 5 hours,7,4,5,7,1,7,5,3,7,7,7,7,7,7,6,5,5,7,7,7
210,25,Returning UNC Student,Yes - BS,Computer Science,Yes,"MATH 129P, MATH 231, MATH 232, STOR 155",2-6 months,No,No,During Girls Who Code club for 2 years,None to less than one month!,Python,5 to 10 hours,3 to 5 hours,2,2,2,4,4,6,5,1,5,6,7,5,6,,5,3,6,7,7,7
211,25,Returning UNC Student,Yes - BS,Computer Science,No,"MATH 129P, MATH 130, MATH 152, MATH 210, MATH 231, MATH 232, MATH 233, STOR 155",1-2 years,No,Yes,High school course (IB or other),2-6 months,"Python, Java / C#, C / C++",0 to 2 hours,5 to 10 hours,6,2,2,1,1,7,7,0,7,7,7,7,4,4,1,2,7,7,7,7
